"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","17-Jul-2017","        451.30","        455.00","        458.35","        453.25","        454.85","        454.15","        455.36","    4922453","          2241512131.55","      47303"
"TATAMOTORS","EQ","18-Jul-2017","        454.15","        452.60","        459.50","        452.60","        456.50","        456.15","        456.78","    2349268","          1073100214.50","      47095"
"TATAMOTORS","EQ","19-Jul-2017","        456.15","        453.00","        462.90","        453.00","        460.50","        460.60","        459.33","    3395937","          1559842538.00","      75759"
"TATAMOTORS","EQ","20-Jul-2017","        460.60","        463.50","        464.35","        457.35","        459.80","        460.15","        460.04","    3318626","          1526702953.80","      47685"
"TATAMOTORS","EQ","21-Jul-2017","        460.15","        460.00","        465.90","        457.60","        464.50","        464.60","        462.37","    3150269","          1456596928.90","      38197"
"TATAMOTORS","EQ","24-Jul-2017","        464.60","        464.95","        468.35","        461.00","        464.90","        464.00","        464.66","    3773074","          1753184516.55","      49674"
"TATAMOTORS","EQ","25-Jul-2017","        464.00","        462.15","        464.70","        454.70","        456.20","        456.10","        457.41","    7052112","          3225727669.25","      67138"
"TATAMOTORS","EQ","26-Jul-2017","        456.10","        457.20","        458.70","        455.00","        456.95","        457.30","        457.10","    3641559","          1664544721.35","      46569"
"TATAMOTORS","EQ","27-Jul-2017","        457.30","        459.00","        460.95","        440.30","        444.05","        445.40","        449.23","   13738611","          6171808873.95","      90948"
"TATAMOTORS","EQ","28-Jul-2017","        445.40","        444.60","        447.45","        442.45","        446.00","        445.85","        444.95","    3365171","          1497338831.70","      47316"
"TATAMOTORS","EQ","31-Jul-2017","        445.85","        446.25","        449.70","        443.70","        444.30","        444.60","        446.31","    3804621","          1698023772.60","      49733"
"TATAMOTORS","EQ","01-Aug-2017","        444.60","        446.55","        452.35","        445.70","        446.80","        446.90","        448.38","    4012791","          1799248860.20","      58032"
"TATAMOTORS","EQ","02-Aug-2017","        446.90","        449.50","        449.95","        438.15","        438.90","        440.35","        442.65","    4045533","          1790768052.90","      61624"
"TATAMOTORS","EQ","03-Aug-2017","        440.35","        441.00","        441.50","        429.60","        432.00","        431.45","        433.40","    6197142","          2685855289.15","      87118"
"TATAMOTORS","EQ","04-Aug-2017","        431.45","        435.10","        438.75","        433.45","        435.75","        435.60","        435.61","    4166729","          1815075153.15","      56342"
"TATAMOTORS","EQ","07-Aug-2017","        435.60","        438.60","        439.80","        425.30","        430.05","        430.00","        431.16","    6461815","          2786104073.20","      78815"
"TATAMOTORS","EQ","08-Aug-2017","        430.00","        432.00","        435.50","        426.00","        430.25","        430.00","        430.83","    7134979","          3073954611.85","      88297"
"TATAMOTORS","EQ","09-Aug-2017","        430.00","        428.80","        429.90","        415.00","        416.05","        416.05","        421.05","   10849567","          4568165299.00","     131000"
"TATAMOTORS","EQ","10-Aug-2017","        416.05","        401.00","        403.60","        375.25","        382.15","        380.20","        387.82","   28114017","         10903107221.10","     376301"
