"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2014","        462.90","        466.20","        471.60","        462.10","        470.00","        470.30","        467.78","    3554224","          1662594866.75","      82465"
"TATAMOTORS","EQ","17-Jul-2014","        470.30","        467.00","        477.35","        465.15","        473.80","        475.30","        472.55","    5060355","          2391271965.40","      77571"
"TATAMOTORS","EQ","18-Jul-2014","        475.30","        471.80","        477.50","        466.35","        475.65","        475.30","        473.01","    4104064","          1941256741.40","      79089"
"TATAMOTORS","EQ","21-Jul-2014","        475.30","        476.25","        478.45","        470.00","        475.50","        474.95","        473.42","    2125042","          1006047803.65","      47057"
"TATAMOTORS","EQ","22-Jul-2014","        474.95","        474.95","        488.20","        472.25","        487.00","        486.70","        481.81","    4200537","          2023874956.20","      61465"
"TATAMOTORS","EQ","23-Jul-2014","        486.70","        485.50","        487.90","        476.75","        485.50","        484.85","        483.44","    4694832","          2269651154.35","      58197"
"TATAMOTORS","EQ","24-Jul-2014","        484.85","        483.20","        487.20","        477.10","        484.55","        485.25","        482.37","    3303449","          1593483137.05","      68065"
"TATAMOTORS","EQ","25-Jul-2014","        485.25","        486.00","        486.00","        456.40","        457.25","        461.10","        469.13","    6276194","          2944331711.00","     117423"
"TATAMOTORS","EQ","28-Jul-2014","        461.10","        456.50","        470.05","        451.30","        454.35","        453.85","        458.14","    8303008","          3803904269.45","     115452"
"TATAMOTORS","EQ","30-Jul-2014","        453.85","        455.00","        455.45","        442.00","        451.40","        451.35","        447.79","   13451030","          6023293265.30","     160284"
"TATAMOTORS","EQ","31-Jul-2014","        451.35","        453.00","        454.70","        445.05","        447.55","        446.75","        448.69","    9372425","          4205279130.90","      96172"
"TATAMOTORS","EQ","01-Aug-2014","        446.75","        444.80","        455.75","        438.00","        439.60","        440.00","        448.66","    8788380","          3943004685.50","     118217"
"TATAMOTORS","EQ","04-Aug-2014","        440.00","        442.30","        448.40","        441.15","        446.55","        446.60","        445.30","    7438170","          3312184315.75","      77845"
"TATAMOTORS","EQ","05-Aug-2014","        446.60","        449.70","        457.90","        444.20","        456.10","        456.80","        451.45","    3987890","          1800323705.25","      43221"
"TATAMOTORS","EQ","06-Aug-2014","        456.80","        455.00","        455.00","        445.20","        447.25","        447.55","        449.10","    4807563","          2159089415.90","      56781"
"TATAMOTORS","EQ","07-Aug-2014","        447.55","        447.60","        450.35","        440.20","        442.95","        442.00","        444.36","    4819648","          2141647718.25","      83581"
"TATAMOTORS","EQ","08-Aug-2014","        442.00","        437.50","        437.85","        430.40","        433.45","        432.90","        432.94","    6422294","          2780452049.85","     138022"
"TATAMOTORS","EQ","11-Aug-2014","        432.90","        439.60","        448.45","        437.00","        447.20","        446.55","        444.45","    8643044","          3841418420.95","     160433"
"TATAMOTORS","EQ","12-Aug-2014","        446.55","        481.00","        482.00","        468.40","        473.30","        474.00","        473.89","   14729593","          6980145131.90","     157646"
"TATAMOTORS","EQ","13-Aug-2014","        474.00","        477.05","        479.85","        466.10","        473.95","        473.50","        473.16","    6232455","          2948947393.05","      94847"
"TATAMOTORS","EQ","14-Aug-2014","        473.50","        474.35","        485.85","        473.65","        484.85","        484.60","        481.36","    6349274","          3056306801.60","      82901"
"TATAMOTORS","EQ","18-Aug-2014","        484.60","        489.05","        505.65","        488.90","        505.05","        503.80","        499.04","    8564539","          4274087762.55","     108555"
"TATAMOTORS","EQ","19-Aug-2014","        503.80","        507.50","        520.70","        505.55","        520.60","        518.85","        513.22","    9859931","          5060300086.20","     131331"
"TATAMOTORS","EQ","20-Aug-2014","        518.85","        519.00","        522.00","        510.90","        511.05","        512.25","        515.78","    5409421","          2790084501.75","      95723"
"TATAMOTORS","EQ","21-Aug-2014","        512.25","        516.00","        518.15","        506.15","        511.65","        512.75","        512.62","    5405948","          2771224072.25","      70205"
"TATAMOTORS","EQ","22-Aug-2014","        512.75","        515.25","        520.65","        510.60","        512.30","        511.55","        514.79","    4357503","          2243192360.65","      63873"
"TATAMOTORS","EQ","25-Aug-2014","        511.55","        517.00","        518.00","        505.35","        507.45","        508.40","        512.93","    3963009","          2032729057.90","      70287"
"TATAMOTORS","EQ","26-Aug-2014","        508.40","        498.50","        515.20","        496.35","        514.15","        512.65","        507.71","    4674270","          2373189779.40","      76268"
"TATAMOTORS","EQ","27-Aug-2014","        512.65","        518.90","        524.00","        516.20","        524.00","        521.70","        520.46","    3863988","          2011038260.55","      82828"
"TATAMOTORS","EQ","28-Aug-2014","        521.70","        523.70","        531.65","        522.65","        524.20","        525.05","        527.05","    5538124","          2918864931.80","      77525"
"TATAMOTORS","EQ","01-Sep-2014","        525.05","        526.00","        529.50","        516.75","        520.70","        520.00","        520.67","    6254629","          3256581203.65","      74771"
"TATAMOTORS","EQ","02-Sep-2014","        520.00","        520.00","        520.75","        512.05","        516.90","        516.25","        515.85","    4650966","          2399183292.95","      58994"
"TATAMOTORS","EQ","03-Sep-2014","        516.25","        526.10","        530.50","        521.30","        523.45","        522.60","        524.47","    7316875","          3837457608.70","      77198"
"TATAMOTORS","EQ","04-Sep-2014","        522.60","        522.70","        522.70","        509.25","        513.05","        513.00","        513.41","    7803460","          4006335649.50","     110104"
"TATAMOTORS","EQ","05-Sep-2014","        513.00","        513.00","        516.60","        503.15","        505.70","        506.00","        509.73","    9954962","          5074335502.25","      93030"
"TATAMOTORS","EQ","08-Sep-2014","        506.00","        508.00","        512.00","        502.90","        510.20","        510.10","        506.83","    9167389","          4646283764.85","      73963"
"TATAMOTORS","EQ","09-Sep-2014","        510.10","        511.10","        518.40","        507.60","        517.30","        517.15","        514.26","    9037982","          4647870080.80","      98072"
"TATAMOTORS","EQ","10-Sep-2014","        517.15","        513.80","        520.95","        512.40","        515.50","        516.55","        517.67","    7237841","          3746825221.85","      68063"
"TATAMOTORS","EQ","11-Sep-2014","        516.55","        518.00","        518.30","        511.00","        513.00","        514.35","        514.56","    3952038","          2033555106.15","      71684"
"TATAMOTORS","EQ","12-Sep-2014","        514.35","        515.00","        519.35","        513.40","        517.15","        517.20","        516.68","    4596246","          2374799440.15","      52038"
"TATAMOTORS","EQ","15-Sep-2014","        517.20","        512.00","        515.40","        510.15","        512.65","        512.40","        512.61","    2970679","          1522801155.40","      57889"
"TATAMOTORS","EQ","16-Sep-2014","        512.40","        510.00","        510.75","        494.65","        500.00","        499.75","        503.34","    5734024","          2886174968.25","      70246"
"TATAMOTORS","EQ","17-Sep-2014","        499.75","        502.00","        509.50","        491.40","        506.85","        506.95","        500.41","    4947732","          2475896521.85","      74888"
"TATAMOTORS","EQ","18-Sep-2014","        506.95","        505.70","        526.80","        500.70","        524.35","        525.40","        517.05","    7051279","          3645844255.40","     114517"
"TATAMOTORS","EQ","19-Sep-2014","        525.40","        525.20","        529.00","        516.55","        519.75","        518.90","        523.40","    5132096","          2686114786.45","      74583"
"TATAMOTORS","EQ","22-Sep-2014","        518.90","        515.00","        542.50","        514.00","        539.35","        540.05","        533.76","    7888770","          4210704518.85","     117475"
"TATAMOTORS","EQ","23-Sep-2014","        540.05","        541.70","        542.60","        516.10","        518.75","        517.80","        528.91","    7448994","          3939859350.25","      88464"
"TATAMOTORS","EQ","24-Sep-2014","        517.80","        516.00","        517.75","        506.55","        512.95","        513.40","        513.01","    3846158","          1973107353.25","      45019"
"TATAMOTORS","EQ","25-Sep-2014","        513.40","        512.70","        514.75","        500.00","        505.00","        504.35","        506.83","    6322423","          3204364846.60","      65782"
"TATAMOTORS","EQ","26-Sep-2014","        504.35","        502.10","        513.05","        492.35","        510.15","        511.10","        503.89","    7175476","          3615667614.35","      92507"
"TATAMOTORS","EQ","29-Sep-2014","        511.10","        510.10","        515.60","        507.65","        510.25","        510.75","        511.24","    5106197","          2610502009.95","      63329"
"TATAMOTORS","EQ","30-Sep-2014","        510.75","        514.70","        514.70","        500.30","        502.70","        502.15","        509.44","    5517683","          2810936532.30","      50426"
"TATAMOTORS","EQ","01-Oct-2014","        502.15","        501.20","        507.40","        499.25","        506.15","        502.75","        504.30","    3687493","          1859596479.00","      64441"
