"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2008","        405.60","        405.60","        407.00","        384.50","        397.50","        395.70","        392.42","     496557","           194858260.50","-"
"TATAMOTORS","EQ","17-Jul-2008","        395.70","        410.00","        424.10","        401.30","        405.35","        410.85","        413.89","     690336","           285723608.75","-"
"TATAMOTORS","EQ","18-Jul-2008","        410.85","        434.95","        434.95","        412.00","        419.00","        421.90","        418.43","     251859","           105384475.55","-"
"TATAMOTORS","EQ","21-Jul-2008","        421.90","        421.90","        431.90","        412.00","        417.00","        418.80","        420.84","     478961","           201564094.90","-"
"TATAMOTORS","EQ","22-Jul-2008","        418.80","        433.00","        433.00","        403.40","        421.95","        412.10","        409.28","     741730","           303575618.30","-"
"TATAMOTORS","EQ","23-Jul-2008","        412.10","        435.00","        448.00","        425.00","        438.55","        440.85","        436.61","     817337","           356860842.60","-"
"TATAMOTORS","EQ","24-Jul-2008","        440.85","        441.10","        451.70","        433.50","        433.50","        440.35","        443.17","     399064","           176853031.55","-"
"TATAMOTORS","EQ","25-Jul-2008","        440.35","        424.25","        435.50","        412.30","        425.95","        426.30","        428.30","     534772","           229041762.85","-"
"TATAMOTORS","EQ","28-Jul-2008","        426.30","        427.00","        431.50","        421.05","        426.00","        426.40","        427.68","     187052","            79999272.60","-"
"TATAMOTORS","EQ","29-Jul-2008","        426.40","        423.00","        435.00","        391.00","        393.00","        396.35","        402.85","     446250","           179773192.95","-"
"TATAMOTORS","EQ","30-Jul-2008","        396.35","        396.50","        427.90","        396.50","        423.30","        415.80","        411.06","     863550","           354973155.85","-"
"TATAMOTORS","EQ","31-Jul-2008","        415.80","        430.00","        430.00","        392.50","        410.00","        403.50","        400.27","    1876940","           751284294.05","-"
"TATAMOTORS","EQ","01-Aug-2008","        403.50","        402.00","        404.50","        393.70","        395.00","        395.25","        396.67","     793773","           314864998.55","-"
"TATAMOTORS","EQ","04-Aug-2008","        395.25","        395.25","        401.70","        389.25","        395.10","        397.00","        398.43","     465366","           185414434.90","-"
"TATAMOTORS","EQ","05-Aug-2008","        397.00","        400.00","        412.50","        395.30","        410.05","        408.65","        406.66","     919301","           373844165.40","-"
"TATAMOTORS","EQ","06-Aug-2008","        408.65","        419.70","        435.00","        417.90","        427.00","        429.25","        429.13","     779807","           334637278.50","-"
"TATAMOTORS","EQ","07-Aug-2008","        429.25","        429.00","        449.20","        420.00","        449.00","        446.40","        443.17","    1177733","           521933248.10","-"
"TATAMOTORS","EQ","08-Aug-2008","        446.40","        435.10","        446.00","        426.00","        441.55","        440.70","        436.16","    1284474","           560233413.40","-"
"TATAMOTORS","EQ","11-Aug-2008","        440.70","        454.70","        457.00","        440.00","        446.25","        447.95","        450.38","     731570","           329485391.95","-"
"TATAMOTORS","EQ","12-Aug-2008","        447.95","        450.00","        450.00","        432.15","        435.90","        436.15","        437.62","     497113","           217546773.00","-"
"TATAMOTORS","EQ","13-Aug-2008","        436.15","        444.70","        444.70","        426.25","        432.55","        433.20","        434.32","     392167","           170327217.45","-"
"TATAMOTORS","EQ","14-Aug-2008","        433.20","        427.80","        436.70","        425.00","        432.30","        432.00","        431.28","     483287","           208432357.55","-"
"TATAMOTORS","EQ","18-Aug-2008","        432.00","        434.70","        434.70","        411.70","        425.00","        425.30","        425.24","     771920","           328247853.90","-"
"TATAMOTORS","EQ","19-Aug-2008","        425.30","        419.85","        425.00","        415.00","        421.70","        421.90","        420.68","     444730","           187089020.45","-"
"TATAMOTORS","EQ","20-Aug-2008","        421.90","        420.00","        431.00","        418.00","        426.50","        424.75","        424.98","     359521","           152790257.50","-"
"TATAMOTORS","EQ","21-Aug-2008","        424.75","        430.50","        445.00","        412.00","        414.55","        415.75","        428.13","    1078824","           461875207.35","-"
"TATAMOTORS","EQ","22-Aug-2008","        415.75","        415.75","        436.50","        410.00","        428.05","        427.35","        423.85","     499346","           211646312.25","-"
"TATAMOTORS","EQ","25-Aug-2008","        427.35","        432.10","        443.95","        420.35","        433.00","        433.70","        435.91","    1132936","           493852750.30","-"
"TATAMOTORS","EQ","26-Aug-2008","        433.70","        421.55","        434.70","        418.10","        433.45","        432.90","        430.44","     812279","           349635304.40","-"
"TATAMOTORS","EQ","27-Aug-2008","        432.90","        436.50","        439.00","        419.10","        423.50","        422.85","        431.67","     747358","           322614241.50","-"
"TATAMOTORS","EQ","28-Aug-2008","        422.85","        425.00","        429.00","        407.55","        411.00","        415.45","        421.58","    1332841","           561896760.20","-"
"TATAMOTORS","EQ","29-Aug-2008","        415.45","        418.00","        444.00","        417.70","        442.00","        440.40","        433.19","     924980","           400687636.95","-"
"TATAMOTORS","EQ","01-Sep-2008","        440.40","        435.00","        439.90","        428.00","        438.00","        437.75","        432.92","     464764","           201204612.15","-"
"TATAMOTORS","EQ","02-Sep-2008","        437.75","        442.00","        444.70","        425.35","        429.00","        429.80","        431.61","    1212183","           523196212.70","-"
"TATAMOTORS","EQ","04-Sep-2008","        429.80","        422.00","        437.70","        417.10","        429.00","        427.30","        424.42","    1187664","           504070328.30","-"
"TATAMOTORS","EQ","05-Sep-2008","        427.30","        420.00","        423.00","        417.10","        420.05","        420.05","        419.95","    1661119","           697583280.70","-"
"TATAMOTORS","EQ","08-Sep-2008","        420.05","        447.70","        447.70","        431.50","        437.25","        436.45","        435.54","    1504112","           655096405.20","-"
"TATAMOTORS","EQ","09-Sep-2008","        436.45","        424.95","        425.90","        411.10","        420.50","        420.55","        419.53","    1063615","           446217140.65","-"
"TATAMOTORS","EQ","10-Sep-2008","        420.55","        418.00","        421.50","        414.70","        420.05","        419.60","        418.52","     634576","           265582962.60","-"
"TATAMOTORS","EQ","11-Sep-2008","        419.60","        419.00","        426.90","        413.00","        425.00","        424.15","        422.07","     738013","           311491068.25","-"
