"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2010","        809.50","        810.00","        835.85","        808.95","        832.25","        832.40","        826.03","    5229287","          4319542706.60","-"
"TATAMOTORS","EQ","19-Jul-2010","        832.40","        827.00","        833.90","        821.15","        825.00","        825.30","        827.08","    1846759","          1527426053.55","-"
"TATAMOTORS","EQ","20-Jul-2010","        825.30","        829.00","        833.00","        809.00","        809.95","        813.05","        820.37","    1753304","          1438358936.40","-"
"TATAMOTORS","EQ","21-Jul-2010","        813.05","        818.00","        825.90","        816.40","        819.90","        820.35","        821.45","    1828912","          1502351358.20","-"
"TATAMOTORS","EQ","22-Jul-2010","        820.35","        819.00","        840.00","        815.00","        838.40","        837.00","        826.02","    2621538","          2165435175.25","-"
"TATAMOTORS","EQ","23-Jul-2010","        837.00","        842.10","        846.95","        831.40","        836.85","        838.40","        840.49","    2610976","          2194503323.15","-"
"TATAMOTORS","EQ","26-Jul-2010","        838.40","        841.00","        841.20","        818.10","        822.00","        821.20","        827.62","    1771276","          1465949235.35","-"
"TATAMOTORS","EQ","27-Jul-2010","        821.20","        821.00","        847.95","        821.00","        844.60","        844.55","        837.41","    2878161","          2410206958.70","-"
"TATAMOTORS","EQ","28-Jul-2010","        844.55","        842.00","        858.50","        842.00","        856.95","        854.80","        852.09","    2832248","          2413327443.65","-"
"TATAMOTORS","EQ","29-Jul-2010","        854.80","        856.10","        869.25","        845.40","        868.00","        866.70","        857.76","    3581832","          3072337370.35","-"
"TATAMOTORS","EQ","30-Jul-2010","        866.70","        854.00","        860.80","        843.25","        846.00","        846.35","        849.96","    2142426","          1820968094.15","-"
"TATAMOTORS","EQ","02-Aug-2010","        846.35","        853.95","        862.90","        843.20","        848.50","        847.35","        851.29","    2191379","          1865503828.20","-"
"TATAMOTORS","EQ","03-Aug-2010","        847.35","        854.90","        856.00","        839.10","        842.10","        841.80","        844.59","    2914482","          2461551780.50","-"
"TATAMOTORS","EQ","04-Aug-2010","        841.80","        843.00","        848.00","        835.00","        844.40","        844.45","        841.82","    1504587","          1266592266.10","-"
"TATAMOTORS","EQ","05-Aug-2010","        844.45","        846.00","        866.75","        842.90","        862.75","        861.00","        858.79","    2915964","          2504212835.35","-"
"TATAMOTORS","EQ","06-Aug-2010","        861.00","        860.00","        901.80","        858.25","        894.70","        893.70","        889.51","    6905308","          6142337482.35","-"
