"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2007","        767.05","        786.00","        786.00","        751.30","        753.10","        759.50","        764.43","    2327119","          1778929779.80","-"
"TATAMOTORS","EQ","17-Jul-2007","        759.50","        759.50","        767.00","        745.10","        747.05","        748.80","        756.35","    1217484","           920845005.85","-"
"TATAMOTORS","EQ","18-Jul-2007","        748.80","        750.00","        755.00","        731.50","        745.50","        743.35","        740.40","     895947","           663355330.45","-"
"TATAMOTORS","EQ","19-Jul-2007","        743.35","        750.00","        785.00","        743.00","        784.05","        776.75","        764.99","    1638752","          1253633048.60","-"
"TATAMOTORS","EQ","20-Jul-2007","        776.75","        830.00","        830.00","        760.00","        767.00","        767.60","        780.73","    1815534","          1417446694.45","-"
"TATAMOTORS","EQ","23-Jul-2007","        767.60","        770.00","        780.00","        756.00","        764.05","        766.60","        769.82","    1137927","           875998551.70","-"
"TATAMOTORS","EQ","24-Jul-2007","        766.60","        769.00","        779.00","        745.00","        748.00","        747.10","        754.62","     698349","           526985327.00","-"
"TATAMOTORS","EQ","25-Jul-2007","        747.10","        747.10","        747.10","        722.50","        727.90","        726.00","        731.13","    1332282","           974071472.80","-"
"TATAMOTORS","EQ","26-Jul-2007","        726.00","        730.90","        762.25","        718.20","        725.00","        731.85","        741.24","    3215620","          2383538554.40","-"
"TATAMOTORS","EQ","27-Jul-2007","        731.85","        735.00","        735.00","        695.00","        700.00","        699.15","        703.91","    1595272","          1122932239.55","-"
"TATAMOTORS","EQ","30-Jul-2007","        699.15","        720.50","        720.50","        696.00","        706.85","        707.25","        704.07","    1017540","           716417973.45","-"
"TATAMOTORS","EQ","31-Jul-2007","        707.25","        706.00","        718.80","        685.55","        698.25","        699.40","        705.03","    2880301","          2030692925.40","-"
"TATAMOTORS","EQ","01-Aug-2007","        699.40","        699.00","        699.00","        660.60","        664.00","        667.40","        669.09","    1397606","           935121528.25","-"
"TATAMOTORS","EQ","02-Aug-2007","        667.40","        665.00","        677.60","        646.60","        653.50","        651.80","        654.39","    2487936","          1628085186.05","-"
"TATAMOTORS","EQ","03-Aug-2007","        651.80","        660.40","        673.00","        653.25","        657.50","        656.35","        659.40","    1525386","          1005841761.50","-"
"TATAMOTORS","EQ","06-Aug-2007","        656.35","        650.00","        655.00","        631.20","        648.00","        648.80","        648.00","    1155849","           748991806.80","-"
"TATAMOTORS","EQ","07-Aug-2007","        648.80","        655.00","        667.00","        655.00","        658.00","        657.70","        660.89","     966418","           638700805.05","-"
"TATAMOTORS","EQ","08-Aug-2007","        657.70","        665.00","        670.45","        657.00","        658.00","        658.95","        663.83","    1403514","           931698955.90","-"
"TATAMOTORS","EQ","09-Aug-2007","        658.95","        664.00","        680.00","        659.20","        664.00","        663.55","        669.99","    1378309","           923451847.85","-"
"TATAMOTORS","EQ","10-Aug-2007","        663.55","        648.65","        672.50","        648.65","        669.15","        669.40","        658.48","     731935","           481967763.05","-"
"TATAMOTORS","EQ","13-Aug-2007","        669.40","        675.00","        696.00","        670.15","        693.00","        692.55","        685.52","    1216947","           834244614.00","-"
"TATAMOTORS","EQ","14-Aug-2007","        692.55","        696.00","        698.50","        681.00","        692.00","        691.15","        688.35","     871646","           599996505.20","-"
"TATAMOTORS","EQ","16-Aug-2007","        691.15","        661.00","        673.80","        650.00","        662.00","        660.50","        663.94","     792462","           526149242.00","-"
"TATAMOTORS","EQ","17-Aug-2007","        660.50","        660.50","        669.00","        638.40","        640.05","        641.15","        652.07","    2121937","          1383656038.00","-"
"TATAMOTORS","EQ","20-Aug-2007","        641.15","        660.00","        667.00","        644.10","        650.00","        649.85","        650.54","    2053269","          1335727583.70","-"
"TATAMOTORS","EQ","21-Aug-2007","        649.85","        650.00","        655.00","        628.15","        629.10","        634.15","        637.91","    2059747","          1313928364.40","-"
"TATAMOTORS","EQ","22-Aug-2007","        634.15","        633.00","        642.50","        616.10","        620.10","        619.50","        623.74","    2499153","          1558814533.75","-"
"TATAMOTORS","EQ","23-Aug-2007","        619.50","        629.90","        642.00","        613.00","        625.00","        620.80","        626.48","    2335631","          1463225770.90","-"
"TATAMOTORS","EQ","24-Aug-2007","        620.80","        628.10","        664.00","        628.10","        660.00","        656.60","        645.64","    1163631","           751283198.00","-"
"TATAMOTORS","EQ","27-Aug-2007","        656.60","        665.35","        682.00","        665.35","        680.15","        675.40","        674.57","     873763","           589412473.55","-"
"TATAMOTORS","EQ","28-Aug-2007","        675.40","        679.00","        679.00","        656.40","        671.00","        663.05","        665.76","    1230767","           819398956.40","-"
"TATAMOTORS","EQ","29-Aug-2007","        663.05","        660.00","        677.60","        645.00","        674.00","        674.15","        665.84","    2759937","          1837685089.00","-"
"TATAMOTORS","EQ","30-Aug-2007","        674.15","        680.20","        699.00","        674.00","        679.00","        680.75","        690.33","    3138153","          2166359743.40","-"
