"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2019","        160.95","        159.80","        170.95","        159.05","        170.35","        170.00","        167.26","   39025331","          6527437754.50","     193736"
"TATAMOTORS","EQ","17-Jul-2019","        170.00","        170.00","        172.35","        166.30","        168.05","        167.90","        168.87","   25236730","          4261654522.35","     133019"
"TATAMOTORS","EQ","18-Jul-2019","        167.90","        167.25","        167.25","        160.00","        161.00","        160.75","        162.83","   19055022","          3102727938.65","     113728"
"TATAMOTORS","EQ","19-Jul-2019","        160.75","        161.45","        162.40","        153.85","        155.20","        154.85","        156.94","   18954216","          2974687238.80","     105612"
"TATAMOTORS","EQ","22-Jul-2019","        154.85","        155.45","        159.30","        155.25","        156.65","        156.75","        157.00","   15995349","          2511292785.65","      88371"
"TATAMOTORS","EQ","23-Jul-2019","        156.75","        157.40","        159.00","        154.80","        156.15","        156.20","        156.69","   12942555","          2027949339.40","      73078"
"TATAMOTORS","EQ","24-Jul-2019","        156.20","        156.35","        157.55","        150.50","        151.30","        151.25","        152.73","   16292964","          2488485598.95","      91056"
"TATAMOTORS","EQ","25-Jul-2019","        151.25","        151.30","        152.50","        143.75","        144.00","        144.30","        147.11","   34364032","          5055330539.30","     183196"
"TATAMOTORS","EQ","26-Jul-2019","        144.30","        138.10","        150.15","        138.10","        148.20","        147.15","        146.00","   83905651","         12250045385.45","     353350"
"TATAMOTORS","EQ","29-Jul-2019","        147.15","        146.90","        146.90","        136.85","        137.80","        137.55","        140.25","   38844222","          5447961495.95","     201161"
"TATAMOTORS","EQ","30-Jul-2019","        137.55","        138.00","        139.70","        132.60","        133.70","        133.45","        136.39","   35725524","          4872699985.15","     185991"
"TATAMOTORS","EQ","31-Jul-2019","        133.45","        133.50","        136.40","        132.50","        135.75","        135.60","        134.39","   27024859","          3631799500.60","     136081"
"TATAMOTORS","EQ","01-Aug-2019","        135.60","        135.50","        136.30","        127.55","        129.70","        129.55","        130.54","   38991424","          5090076867.15","     207269"
"TATAMOTORS","EQ","02-Aug-2019","        129.55","        128.50","        133.20","        127.00","        130.15","        130.70","        130.37","   44016138","          5738532941.55","     221995"
"TATAMOTORS","EQ","05-Aug-2019","        130.70","        128.00","        128.20","        122.30","        124.00","        123.75","        124.57","   35452262","          4416430405.85","     180347"
"TATAMOTORS","EQ","06-Aug-2019","        123.75","        123.05","        126.55","        121.75","        122.25","        122.50","        123.83","   34790369","          4308249566.50","     154007"
"TATAMOTORS","EQ","07-Aug-2019","        122.50","        122.60","        123.85","        116.50","        117.20","        117.40","        120.41","   37287779","          4489760016.50","     159615"
"TATAMOTORS","EQ","08-Aug-2019","        117.40","        118.00","        125.00","        116.90","        124.00","        124.05","        120.72","   35876237","          4330927031.45","     158597"
"TATAMOTORS","EQ","09-Aug-2019","        124.05","        124.50","        126.50","        120.70","        122.55","        122.05","        123.11","   39245417","          4831315607.60","     178731"
"TATAMOTORS","EQ","13-Aug-2019","        122.05","        123.80","        126.30","        121.00","        121.65","        121.95","        123.42","   35498118","          4381290301.55","     165227"
"TATAMOTORS","EQ","14-Aug-2019","        121.95","        122.70","        123.80","        118.60","        120.75","        120.90","        121.03","   30136178","          3647312365.30","     152935"
"TATAMOTORS","EQ","16-Aug-2019","        120.90","        119.90","        122.45","        117.35","        120.65","        121.35","        119.73","   35264621","          4222154127.40","     144070"
"TATAMOTORS","EQ","19-Aug-2019","        121.35","        121.20","        122.60","        120.00","        121.25","        120.80","        121.12","   23194786","          2809390829.65","      85169"
"TATAMOTORS","EQ","20-Aug-2019","        120.80","        120.00","        124.80","        119.00","        123.80","        123.85","        122.20","   34809225","          4253818545.85","     139469"
"TATAMOTORS","EQ","21-Aug-2019","        123.85","        123.00","        123.00","        109.50","        112.00","        112.40","        114.84","   83509593","          9590596245.10","     298193"
"TATAMOTORS","EQ","22-Aug-2019","        112.40","        112.00","        114.00","        106.20","        108.05","        107.70","        110.03","   58612708","          6449267360.30","     188547"
"TATAMOTORS","EQ","23-Aug-2019","        107.70","        108.90","        111.60","        107.65","        111.50","        111.05","        109.52","   41178606","          4510006832.35","     153440"
"TATAMOTORS","EQ","26-Aug-2019","        111.05","        114.55","        115.40","        106.80","        110.50","        110.55","        110.45","   47757623","          5274690121.35","     175714"
"TATAMOTORS","EQ","27-Aug-2019","        110.55","        112.70","        121.40","        111.80","        120.45","        120.35","        117.85","   70636441","          8324718739.15","     281051"
"TATAMOTORS","EQ","28-Aug-2019","        120.35","        120.55","        124.00","        114.80","        116.70","        116.35","        119.62","   74245952","          8881032350.90","     291912"
"TATAMOTORS","EQ","29-Aug-2019","        116.35","        116.50","        118.50","        112.10","        114.45","        114.30","        114.85","   48098849","          5524197858.30","     170324"
"TATAMOTORS","EQ","30-Aug-2019","        114.30","        115.60","        117.30","        112.00","        116.50","        116.70","        114.60","   42250518","          4841699042.80","     160152"
"TATAMOTORS","EQ","03-Sep-2019","        116.70","        113.05","        115.35","        111.20","        112.00","        112.65","        113.05","   36905736","          4172069725.25","     136732"
"TATAMOTORS","EQ","04-Sep-2019","        112.65","        112.00","        113.00","        106.00","        109.75","        109.50","        108.57","   76317447","          8285780831.40","     252504"
"TATAMOTORS","EQ","05-Sep-2019","        109.50","        109.75","        119.35","        109.50","        118.35","        118.05","        115.24","   75789807","          8733782896.30","     249817"
"TATAMOTORS","EQ","06-Sep-2019","        118.05","        118.35","        122.30","        116.55","        121.25","        121.25","        119.28","   67761586","          8082483446.95","     215641"
"TATAMOTORS","EQ","09-Sep-2019","        121.25","        119.00","        122.60","        117.35","        121.80","        121.90","        120.38","   51297512","          6174985960.95","     177222"
"TATAMOTORS","EQ","11-Sep-2019","        121.90","        127.00","        135.00","        125.30","        134.90","        134.35","        130.86","   96568372","         12637306239.05","     339751"
"TATAMOTORS","EQ","12-Sep-2019","        134.35","        134.60","        135.35","        126.70","        129.25","        127.95","        130.11","   72084195","          9379207006.75","     234911"
"TATAMOTORS","EQ","13-Sep-2019","        127.95","        129.20","        130.95","        125.50","        129.60","        129.55","        128.31","   69088728","          8864543960.75","     219931"
"TATAMOTORS","EQ","16-Sep-2019","        129.55","        128.00","        130.30","        126.50","        128.80","        128.60","        128.49","   40951047","          5261703155.55","     138411"
"TATAMOTORS","EQ","17-Sep-2019","        128.60","        129.00","        130.50","        121.35","        122.20","        122.00","        125.69","   47652658","          5989637063.65","     159534"
"TATAMOTORS","EQ","18-Sep-2019","        122.00","        123.05","        125.90","        120.50","        122.60","        121.75","        122.50","   53048836","          6498411543.40","     171845"
"TATAMOTORS","EQ","19-Sep-2019","        121.75","        123.50","        125.35","        121.20","        124.20","        124.20","        123.51","   51011848","          6300583631.70","     190065"
"TATAMOTORS","EQ","20-Sep-2019","        124.20","        125.00","        137.75","        122.60","        133.15","        133.25","        131.52","   89223235","         11734194084.40","     316158"
"TATAMOTORS","EQ","23-Sep-2019","        133.25","        135.00","        138.40","        126.50","        127.70","        127.90","        129.85","   51032391","          6626652708.45","     213794"
"TATAMOTORS","EQ","24-Sep-2019","        127.90","        128.05","        132.20","        128.00","        131.40","        130.90","        130.43","   41659100","          5433716718.80","     173224"
"TATAMOTORS","EQ","25-Sep-2019","        130.90","        129.90","        129.90","        121.50","        123.15","        123.05","        124.21","   47567575","          5908578087.55","     185967"
"TATAMOTORS","EQ","26-Sep-2019","        123.05","        123.90","        127.25","        122.80","        124.40","        124.50","        124.80","   45866398","          5724027997.65","     193163"
"TATAMOTORS","EQ","27-Sep-2019","        124.50","        122.00","        122.45","        118.20","        120.10","        119.90","        120.03","   45875793","          5506428000.75","     188975"
"TATAMOTORS","EQ","30-Sep-2019","        119.90","        120.65","        120.85","        116.40","        117.45","        117.45","        118.06","   32158885","          3796565367.10","     115046"
"TATAMOTORS","EQ","01-Oct-2019","        117.45","        118.00","        119.85","        113.00","        115.00","        115.30","        116.91","   40232789","          4703798686.40","     155181"
"TATAMOTORS","EQ","03-Oct-2019","        115.30","        112.65","        123.50","        112.65","        122.65","        122.40","        120.83","   65103359","          7866127647.70","     234403"
"TATAMOTORS","EQ","04-Oct-2019","        122.40","        122.80","        123.80","        118.80","        119.05","        119.65","        121.24","   35712218","          4329796685.55","     122515"
"TATAMOTORS","EQ","07-Oct-2019","        119.65","        120.25","        120.55","        116.35","        117.40","        117.50","        118.59","   35471184","          4206514689.95","     131962"
"TATAMOTORS","EQ","09-Oct-2019","        117.50","        118.50","        121.70","        115.45","        120.95","        120.90","        118.42","   44666296","          5289346768.05","     157065"
"TATAMOTORS","EQ","10-Oct-2019","        120.90","        119.30","        119.70","        116.20","        116.80","        116.80","        117.54","   31229192","          3670774769.45","     117692"
"TATAMOTORS","EQ","11-Oct-2019","        116.80","        118.05","        122.20","        117.25","        121.15","        121.30","        119.71","   41027561","          4911321946.75","     133759"
"TATAMOTORS","EQ","14-Oct-2019","        121.30","        122.60","        130.00","        122.50","        127.40","        127.85","        127.75","   68048611","          8693341103.15","     226951"
"TATAMOTORS","EQ","15-Oct-2019","        127.85","        127.10","        128.90","        123.70","        126.55","        126.95","        126.05","   57548920","          7253969725.15","     188137"
"TATAMOTORS","EQ","16-Oct-2019","        126.95","        127.30","        128.30","        124.50","        125.90","        125.85","        126.33","   31522518","          3982336571.30","     116464"
"TATAMOTORS","EQ","17-Oct-2019","        125.85","        127.10","        144.35","        125.10","        142.55","        139.50","        134.19","   67933615","          9115777154.05","     219228"
"TATAMOTORS","EQ","18-Oct-2019","        139.50","        139.00","        141.80","        135.60","        136.60","        136.85","        137.97","   64884113","          8952372033.35","     248963"
"TATAMOTORS","EQ","22-Oct-2019","        136.85","        133.35","        135.60","        129.80","        131.35","        131.75","        132.75","   53532482","          7106369429.80","     231910"
"TATAMOTORS","EQ","23-Oct-2019","        131.75","        130.45","        133.80","        127.25","        132.30","        132.65","        131.20","   50293574","          6598719793.15","     175970"
"TATAMOTORS","EQ","24-Oct-2019","        132.65","        133.00","        135.15","        130.50","        133.85","        133.50","        133.14","   41951668","          5585549982.20","     154844"
"TATAMOTORS","EQ","25-Oct-2019","        133.50","        132.00","        133.00","        125.70","        126.25","        126.85","        129.15","   42868958","          5536356176.70","     154653"
"TATAMOTORS","EQ","27-Oct-2019","        126.85","        139.50","        150.70","        139.50","        149.50","        147.70","        147.72","   39490461","          5833420997.70","     163321"
"TATAMOTORS","EQ","29-Oct-2019","        147.70","        151.90","        175.50","        151.20","        172.15","        172.45","        166.77","  184435614","         30758751424.05","     720492"
"TATAMOTORS","EQ","30-Oct-2019","        172.45","        175.00","        175.65","        166.55","        172.50","        171.90","        171.14","   90759545","         15532532656.10","     400940"
"TATAMOTORS","EQ","31-Oct-2019","        171.90","        169.80","        179.65","        168.95","        177.80","        177.70","        176.20","   81392641","         14341349128.95","     346207"
"TATAMOTORS","EQ","01-Nov-2019","        177.70","        175.20","        178.00","        172.40","        175.00","        175.05","        175.64","   40613555","          7133268708.10","     183649"
"TATAMOTORS","EQ","04-Nov-2019","        175.05","        171.60","        178.45","        170.85","        172.25","        172.20","        174.09","   40641411","          7075354251.85","     193894"
"TATAMOTORS","EQ","05-Nov-2019","        172.20","        173.25","        175.75","        169.95","        171.75","        172.00","        173.16","   36268596","          6280323319.30","     173036"
"TATAMOTORS","EQ","06-Nov-2019","        172.00","        172.00","        176.35","        170.50","        174.20","        174.50","        173.77","   28923778","          5026096172.40","     137001"
"TATAMOTORS","EQ","07-Nov-2019","        174.50","        174.70","        174.70","        167.60","        171.35","        171.50","        171.01","   38625387","          6605213514.90","     162464"
"TATAMOTORS","EQ","08-Nov-2019","        171.50","        170.75","        178.90","        167.80","        169.50","        169.05","        172.68","   39102947","          6752473268.55","     164139"
"TATAMOTORS","EQ","11-Nov-2019","        169.05","        169.20","        172.95","        169.05","        171.95","        172.00","        170.76","   22192924","          3789657620.95","      94840"
"TATAMOTORS","EQ","13-Nov-2019","        172.00","        171.50","        176.00","        169.40","        170.20","        170.60","        172.82","   33926248","          5863139806.80","     140493"
"TATAMOTORS","EQ","14-Nov-2019","        170.60","        170.20","        170.30","        165.50","        167.00","        167.05","        167.25","   25433481","          4253673835.00","     110113"
"TATAMOTORS","EQ","15-Nov-2019","        167.05","        169.00","        173.40","        167.35","        168.90","        168.55","        170.31","   29614682","          5043631607.95","     125405"
"TATAMOTORS","EQ","18-Nov-2019","        168.55","        172.10","        172.10","        169.25","        170.20","        170.10","        170.50","   19053232","          3248653468.20","      86849"
"TATAMOTORS","EQ","19-Nov-2019","        170.10","        170.80","        171.75","        167.10","        167.90","        167.75","        168.80","   19599195","          3308411389.80","      93852"
"TATAMOTORS","EQ","20-Nov-2019","        167.75","        167.75","        170.20","        166.20","        167.30","        167.40","        168.21","   19504078","          3280718229.20","      82289"
"TATAMOTORS","EQ","21-Nov-2019","        167.40","        166.95","        170.10","        163.00","        164.30","        164.15","        166.91","   21609120","          3606878466.60","     105085"
"TATAMOTORS","EQ","22-Nov-2019","        164.15","        164.90","        165.25","        160.55","        162.25","        162.35","        162.25","   21200979","          3439809964.85","     104018"
"TATAMOTORS","EQ","25-Nov-2019","        162.35","        160.70","        166.60","        159.90","        166.00","        166.10","        163.96","   26131453","          4284384154.70","     104799"
"TATAMOTORS","EQ","26-Nov-2019","        166.10","        166.65","        167.30","        162.55","        163.70","        163.40","        164.92","   25520822","          4208784994.85","     108159"
"TATAMOTORS","EQ","27-Nov-2019","        163.40","        165.30","        169.30","        165.00","        165.90","        165.90","        167.14","   29527702","          4935144661.45","     130558"
"TATAMOTORS","EQ","28-Nov-2019","        165.90","        165.75","        166.30","        163.55","        165.90","        164.80","        164.77","   16609775","          2736804603.50","      82120"
"TATAMOTORS","EQ","29-Nov-2019","        164.80","        164.80","        167.75","        160.60","        160.95","        161.50","        164.33","   20010205","          3288241324.70","     101159"
"TATAMOTORS","EQ","02-Dec-2019","        161.50","        160.95","        163.00","        158.95","        160.80","        161.05","        161.21","   19441998","          3134296770.90","     102827"
"TATAMOTORS","EQ","03-Dec-2019","        161.05","        162.95","        162.95","        157.40","        158.50","        158.20","        159.62","   21156471","          3377033138.30","      99879"
"TATAMOTORS","EQ","04-Dec-2019","        158.20","        158.50","        170.35","        157.70","        169.30","        169.40","        165.83","   72084687","         11954040386.40","     318152"
"TATAMOTORS","EQ","05-Dec-2019","        169.40","        170.35","        172.20","        165.20","        166.30","        166.10","        168.13","   31787128","          5344414968.50","     147993"
"TATAMOTORS","EQ","06-Dec-2019","        166.10","        167.00","        168.00","        160.05","        161.05","        161.50","        163.09","   27727162","          4522095222.55","     114304"
"TATAMOTORS","EQ","09-Dec-2019","        161.50","        162.00","        166.45","        159.75","        161.20","        160.50","        163.56","   30920409","          5057422151.05","     162808"
"TATAMOTORS","EQ","10-Dec-2019","        160.50","        162.15","        163.25","        159.05","        160.10","        159.70","        160.80","   26259395","          4222443036.85","     138289"
"TATAMOTORS","EQ","11-Dec-2019","        159.70","        160.40","        163.00","        157.40","        162.40","        161.80","        160.18","   21154277","          3388417674.85","     112653"
"TATAMOTORS","EQ","12-Dec-2019","        161.80","        163.45","        174.90","        162.50","        172.90","        173.35","        170.24","   66138915","         11259163467.70","     267724"
"TATAMOTORS","EQ","13-Dec-2019","        173.35","        177.25","        183.95","        175.50","        176.80","        176.70","        179.29","   93019636","         16677146591.75","     375480"
