"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2009","        288.55","        295.00","        308.40","        293.00","        297.65","        296.70","        300.02","    5145761","          1543835740.65","-"
"TATAMOTORS","EQ","17-Jul-2009","        296.70","        300.00","        318.00","        299.90","        317.50","        315.80","        312.65","    4384270","          1370740445.25","-"
"TATAMOTORS","EQ","20-Jul-2009","        315.80","        320.00","        330.00","        309.15","        327.20","        327.95","        322.20","    3826290","          1232847977.25","-"
"TATAMOTORS","EQ","21-Jul-2009","        327.95","        330.10","        336.40","        317.80","        327.70","        327.10","        326.15","    4643203","          1514379401.15","-"
"TATAMOTORS","EQ","22-Jul-2009","        327.10","        330.50","        340.10","        320.00","        327.60","        325.05","        331.99","    3577101","          1187574181.45","-"
"TATAMOTORS","EQ","23-Jul-2009","        325.05","        333.90","        342.50","        330.00","        339.25","        340.35","        336.56","    3254839","          1095452314.50","-"
"TATAMOTORS","EQ","24-Jul-2009","        340.35","        342.50","        377.60","        340.35","        370.00","        372.85","        363.04","    8415060","          3055045155.20","-"
"TATAMOTORS","EQ","27-Jul-2009","        372.85","        373.50","        388.00","        356.60","        386.00","        374.10","        368.87","    7419492","          2736839999.60","-"
"TATAMOTORS","EQ","28-Jul-2009","        374.10","        387.00","        424.80","        384.00","        413.00","        414.35","        406.15","   15517278","          6302417238.00","-"
"TATAMOTORS","EQ","29-Jul-2009","        414.35","        407.00","        409.00","        380.45","        392.20","        393.25","        395.95","    8423715","          3335387766.35","-"
"TATAMOTORS","EQ","30-Jul-2009","        393.25","        389.80","        403.00","        385.30","        395.30","        395.45","        395.38","    4893816","          1934892569.85","-"
"TATAMOTORS","EQ","31-Jul-2009","        395.45","        405.00","        425.00","        400.35","        421.90","        421.55","        416.09","    9509827","          3956929414.30","-"
"TATAMOTORS","EQ","03-Aug-2009","        421.55","        423.00","        434.00","        416.50","        429.65","        431.20","        427.56","    6159816","          2633699798.10","-"
"TATAMOTORS","EQ","04-Aug-2009","        431.20","        372.20","        469.40","        372.20","        442.00","        443.10","        450.91","   15695647","          7077335728.80","-"
"TATAMOTORS","EQ","05-Aug-2009","        443.10","        441.00","        456.75","        437.00","        447.40","        449.70","        447.71","    9098876","          4073664501.05","-"
"TATAMOTORS","EQ","06-Aug-2009","        449.70","        447.00","        452.90","        415.10","        415.65","        418.40","        431.66","    6825557","          2946346165.60","-"
