"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2013","        288.45","        284.00","        292.35","        281.70","        291.55","        291.55","        286.36","    6937607","          1986679046.10","      90629"
"TATAMOTORS","EQ","17-Jul-2013","        291.55","        290.65","        291.05","        282.30","        284.50","        285.25","        285.90","    5373439","          1536269519.10","      64968"
"TATAMOTORS","EQ","18-Jul-2013","        285.25","        284.60","        288.10","        280.75","        287.10","        286.90","        285.06","    5208359","          1484709460.75","      67129"
"TATAMOTORS","EQ","19-Jul-2013","        286.90","        287.00","        297.60","        287.00","        293.25","        294.65","        294.18","    6247962","          1838052980.95","      82748"
"TATAMOTORS","EQ","22-Jul-2013","        294.65","        294.00","        300.80","        293.30","        297.35","        297.85","        297.48","    5330210","          1585621409.35","      58970"
"TATAMOTORS","EQ","23-Jul-2013","        297.85","        298.20","        301.50","        294.25","        299.45","        298.80","        297.79","    7317801","          2179142558.45","      64504"
"TATAMOTORS","EQ","24-Jul-2013","        298.80","        298.00","        300.95","        294.70","        297.00","        297.30","        297.31","    4795606","          1425769970.45","      56611"
"TATAMOTORS","EQ","25-Jul-2013","        297.30","        298.00","        303.25","        294.70","        300.00","        299.90","        299.40","    8102895","          2425991947.55","      75186"
"TATAMOTORS","EQ","26-Jul-2013","        299.90","        301.00","        301.65","        287.30","        289.70","        289.95","        293.73","    4255393","          1249944884.70","      41870"
"TATAMOTORS","EQ","29-Jul-2013","        289.95","        288.00","        297.00","        288.00","        296.00","        295.75","        294.77","    4588678","          1352593034.50","      47276"
"TATAMOTORS","EQ","30-Jul-2013","        295.75","        295.95","        297.65","        282.30","        284.00","        284.90","        290.56","    6381746","          1854266516.45","      54999"
"TATAMOTORS","EQ","31-Jul-2013","        284.90","        282.50","        292.50","        278.00","        290.50","        290.50","        286.29","    6074890","          1739201412.00","      79042"
"TATAMOTORS","EQ","01-Aug-2013","        290.50","        291.50","        293.70","        284.20","        289.15","        288.95","        288.93","    4065282","          1174567943.40","      38346"
"TATAMOTORS","EQ","02-Aug-2013","        288.95","        287.80","        291.90","        282.25","        291.60","        290.45","        287.88","    5526691","          1591008535.10","      80433"
"TATAMOTORS","EQ","05-Aug-2013","        290.45","        290.25","        302.00","        279.20","        286.50","        284.75","        286.19","    6363971","          1821323988.60","      52073"
